"Plant","LI","LC","M","UC","UI","Genus","Samples","Isolates","Prevalence","Target","Animal"
"Pigs AB015",0.8254789843902,0.873563023720484,0.894773154051277,0.91380973325153,0.943621058380327,"E.coli",78,70,89.7435897435898,58,"Pigs"
"Pigs AB018",0.742892109522198,0.799953316985083,0.825904209294623,0.848490385969367,0.886975574970986,"E.coli",93,75,80.6451612903226,28,"Pigs"
"Pigs AB032",0.867304160462531,0.913075077337651,0.932807849957975,0.949086785613894,0.973234399646163,"E.coli",57,55,96.4912280701754,46,"Pigs"
"Pigs AB078",0.731646708460621,0.797772294281228,0.827909764051877,0.85516644585355,0.897768044308362,"E.coli",60,48,80,18,"Pigs"
"Pigs AB081",0.772106312557885,0.851972346539383,0.88340013541347,0.910560700935877,0.950267075052173,"E.coli",25,22,88,6,"Pigs"
"Calves ME016",0.826748268401572,0.886556188838876,0.913568807542522,0.936538623438687,0.96895389156696,"E.coli",35,34,97.1428571428571,12,"Calves"
"Calves ME018",0.809695330521124,0.868435465232773,0.89562481282297,0.920204913909188,0.955392648722047,"E.coli",42,39,92.8571428571429,8,"Calves"
"Calves ME021",0.726107038045424,0.815498761972573,0.852872304777969,0.886180704619198,0.936189379591526,"E.coli",21,18,85.7142857142857,8,"Calves"
"Calves ME023",0.673568124736085,0.777050147173314,0.821255013797729,0.857936071875704,0.915122307623357,"E.coli",18,14,77.7777777777778,30,"Calves"
"Calves ME034",0.673418004783735,0.812259272623396,0.858653596707529,0.898112923966075,0.95318800208519,"E.coli",2,2,100,1,"Calves"
"Calves ME039",0.653949878796219,0.756213329667442,0.798643290007649,0.83759293402108,0.895344264703213,"E.coli",24,18,75,16,"Calves"
"Calves ME040",0.792022509207665,0.852359078356321,0.878692299874339,0.903067521253667,0.944368959347913,"E.coli",40,36,90,5,"Calves"
"Calves ME043",0.626160356614718,0.728005819775271,0.775234063772953,0.818015458536607,0.87884678125726,"E.coli",28,20,71.4285714285714,30,"Calves"
"Calves ME047",0.637022182282151,0.733855512160909,0.781230996957097,0.820174219631752,0.878857702758076,"E.coli",29,21,72.4137931034483,6,"Calves"
