"Antimicrobial","Animal","Species","AMCSpeciesAnimal","PlantEffect","NMD","Susceptible","Resistant","2.5%","25%","50%","75%","97.5%","LI","LC","M","UC","UI","Plant"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME016","ME016",15,0,0,0,0,0,1,0,0,0,0,0.0666666666666667,"Calves ME016"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME018","ME018",13,0,0,0,0,0,1,0,0,0,0,0.0769230769230769,"Calves ME018"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME021","ME021",8,1,0,0,0,0,1,0,0,0,0,0.111111111111111,"Calves ME021"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME023","ME023",14,0,0,0,0,0,2,0,0,0,0,0.142857142857143,"Calves ME023"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME034","ME034",2,0,0,0,0,0,1,0,0,0,0,0.5,"Calves ME034"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME039","ME039",17,1,0,0,0,1,2,0,0,0,0.0555555555555556,0.111111111111111,"Calves ME039"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME040","ME040",11,0,0,0,0,0,1,0,0,0,0,0.0909090909090909,"Calves ME040"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME043","ME043",20,0,0,0,0,1,2,0,0,0,0.05,0.1,"Calves ME043"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME047","ME047",12,0,0,0,0,0,1,0,0,0,0,0.0833333333333333,"Calves ME047"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME056","ME056",18,0,0,0,0,0,2,0,0,0,0,0.111111111111111,"Calves ME056"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME058","ME058",24,0,0,0,0,1,2,0,0,0,0.0416666666666667,0.0833333333333333,"Calves ME058"
"AMC","Calves","E.coli","AMC.Calves.E.coli","AMC.E.coli.ME066","ME066",9,0,0,0,0,0,1,0,0,0,0,0.111111111111111,"Calves ME066"
