"Antimicrobial","Species","Animal","LI","LC","M","UC","UI"
"AMC","E.coli","Calves",0.00919182856638394,0.0124661216312163,0.0145059915424458,0.0166565271197021,0.0214123718828161
"AMC","E.coli","Pigs",0.000994733189833256,0.00336210248203545,0.00565249950709534,0.00904209417426419,0.0191315310685726
"AMC","E.coli","Poultry",2.95327784391657e-05,0.000292350103489945,0.000819545986365363,0.00204129978252641,0.00719339888850394
"AMP","E.coli","Calves",0.175450648105898,0.210796656867654,0.230178300149445,0.2508315472665,0.290907185749823
"AMP","Enterococci","Calves",2.73686406093549e-05,0.000293758871940768,0.000875356805136761,0.00210142812079371,0.00740914528282637
"AMP","E.coli","Pigs",0.0512333321871314,0.0713385535434418,0.0838428664384317,0.097806886449149,0.131654889568573
"AMP","Enterococci","Pigs",2.33955126279578e-05,0.000284375389723832,0.000828209011711634,0.00205574194948752,0.007526490941423
"AMP","E.coli","Poultry",0.0245896286656348,0.0372691116215073,0.0466047263696712,0.0569798199261646,0.0819657427655589
"AMP","Enterococci","Poultry",2.30922975551959e-05,0.000321381885120835,0.000870396411965203,0.00201255300864197,0.00698292416661819
"APR","E.coli","Calves",2.56590949251787e-05,0.000282798217830514,0.000815496413374688,0.0020516821106343,0.00699032625091153
"APR","E.coli","Pigs",0.000317656224291576,0.00158143040408937,0.00306170152627301,0.00546098567084496,0.0126336305079945
"APR","E.coli","Poultry",0.000335087403990246,0.00162116224614097,0.00309371761078738,0.00538779507554302,0.0127729553191242
"CFOX","E.coli","Calves",0.00217160921150155,0.00561867895934655,0.0084480787980938,0.0123163378748059,0.0219446196250766
"CFOX","E.coli","Pigs",0.00302566952587899,0.00747310874207504,0.0108833844042078,0.0153758881760036,0.0274504907034344
"CFOX","E.coli","Poultry",0.000294111796858708,0.00150098003452396,0.00299481491323163,0.00533155277587083,0.0131995373319014
"CFUR","E.coli","Calves",2.7060429507216e-05,0.000298827940481201,0.000867894608797836,0.00202786051505944,0.00705134588083463
