"Plant","Animal","Quarter","Total","Samples","Isolates","Genus"
"AB015","Pigs",1,22,20,19,"E.coli"
"AB015","Pigs",2,16,12,9,"E.coli"
"AB015","Pigs",3,29,27,25,"E.coli"
"AB015","Pigs",4,20,19,17,"E.coli"
"AB018","Pigs",1,39,32,28,"E.coli"
"AB018","Pigs",2,29,21,17,"E.coli"
"AB018","Pigs",3,30,19,12,"E.coli"
"AB018","Pigs",4,27,21,18,"E.coli"
"AB032","Pigs",1,10,10,10,"E.coli"
"AB032","Pigs",2,14,14,13,"E.coli"
"AB032","Pigs",3,20,20,19,"E.coli"
"AB032","Pigs",4,15,13,13,"E.coli"
"AB078","Pigs",1,20,15,7,"E.coli"
"AB078","Pigs",2,41,24,22,"E.coli"
"AB078","Pigs",3,29,19,17,"E.coli"
"AB078","Pigs",4,2,2,2,"E.coli"
"AB081","Pigs",1,20,16,14,"E.coli"
"AB081","Pigs",2,4,4,3,"E.coli"
"AB081","Pigs",3,1,1,1,"E.coli"
"AB081","Pigs",4,4,4,4,"E.coli"
"ME016","Calves",1,20,18,18,"E.coli"
"ME016","Calves",4,36,17,16,"E.coli"
"ME018","Calves",1,23,21,21,"E.coli"
"ME018","Calves",4,43,21,18,"E.coli"
"ME021","Calves",4,36,21,18,"E.coli"
"ME023","Calves",4,32,18,14,"E.coli"
"ME034","Calves",4,5,2,2,"E.coli"
"ME039","Calves",4,42,24,18,"E.coli"
"ME040","Calves",1,18,18,18,"E.coli"
"ME040","Calves",4,40,22,18,"E.coli"
"ME043","Calves",4,40,28,20,"E.coli"
"ME047","Calves",4,45,29,21,"E.coli"
"ME056","Calves",4,43,21,19,"E.coli"
"ME058","Calves",4,60,40,29,"E.coli"
"ME066","Calves",1,10,10,10,"E.coli"
"ME066","Calves",4,39,16,14,"E.coli"
"ME069","Pigs",1,6,6,5,"E.coli"
"ME069","Pigs",2,12,9,8,"E.coli"
"ME069","Pigs",3,7,7,7,"E.coli"
"ME069","Pigs",4,13,13,13,"E.coli"
"ME075","Calves",4,40,34,20,"E.coli"
"ME077","Pigs",1,1,1,1,"E.coli"
"ME077","Pigs",2,2,2,1,"E.coli"
"ME077","Pigs",3,1,1,1,"E.coli"
"ME078","Calves",4,7,4,4,"E.coli"
"ME080","Calves",1,13,13,13,"E.coli"
"ME080","Calves",4,37,19,14,"E.coli"
"ME086","Calves",1,19,19,18,"E.coli"
"ME086","Calves",4,43,24,18,"E.coli"
"ME100","Calves",4,51,31,20,"E.coli"
"ME102","Calves",4,50,37,27,"E.coli"
"ME103","Pigs",1,36,29,26,"E.coli"
"ME103","Pigs",2,32,25,22,"E.coli"
"ME103","Pigs",3,27,19,18,"E.coli"
"ME103","Pigs",4,39,29,24,"E.coli"
"ME104","Calves",4,49,28,21,"E.coli"
"ME112","Calves",1,21,21,21,"E.coli"
"ME112","Calves",4,28,14,10,"E.coli"
"ME131","Pigs",1,42,34,29,"E.coli"
"ME131","Pigs",2,23,18,16,"E.coli"
"ME131","Pigs",3,29,20,18,"E.coli"
"ME131","Pigs",4,35,23,20,"E.coli"
"ME132","Calves",1,18,16,15,"E.coli"
"ME137","Calves",1,5,5,5,"E.coli"
"ME500","Calves",1,14,14,14,"E.coli"
"ME500","Calves",4,24,10,10,"E.coli"
"NMD002","Poultry",1,11,9,7,"E.coli"
"NMD002","Poultry",2,11,11,10,"E.coli"
"NMD002","Poultry",3,3,3,2,"E.coli"
"NMD002","Poultry",4,4,3,2,"E.coli"
"NMD008","Poultry",1,30,30,30,"E.coli"
"NMD008","Poultry",2,22,22,18,"E.coli"
"NMD008","Poultry",3,24,24,22,"E.coli"
"NMD008","Poultry",4,21,21,20,"E.coli"
"NMD012","Poultry",1,10,10,9,"E.coli"
"NMD012","Poultry",2,15,15,14,"E.coli"
"NMD012","Poultry",3,18,17,13,"E.coli"
"NMD012","Poultry",4,17,17,15,"E.coli"
"NMD013","Poultry",1,33,33,30,"E.coli"
"NMD013","Poultry",2,39,32,30,"E.coli"
"NMD013","Poultry",3,39,30,28,"E.coli"
"NMD013","Poultry",4,39,28,25,"E.coli"
"NMD014","Poultry",1,23,23,22,"E.coli"
"NMD014","Poultry",2,24,21,21,"E.coli"
