"n","p1","Deff","alpha","delta_p"
200,0.01,1.2,"99%",0.019852275892216
300,0.01,1.2,"99%",0.0162093153896283
400,0.01,1.2,"99%",0.0140376789053721
200,0.02,1.2,"99%",0.0279332031868902
300,0.02,1.2,"99%",0.0228073648964553
400,0.02,1.2,"99%",0.0197517573937118
200,0.03,1.2,"99%",0.0340360536275624
300,0.03,1.2,"99%",0.0277903214151774
400,0.03,1.2,"99%",0.0240671243248784
200,0.04,1.2,"99%",0.0390983398224949
300,0.04,1.2,"99%",0.0319236607850174
400,0.04,1.2,"99%",0.0276467012216221
200,0.05,1.2,"99%",0.043485003521801
300,0.05,1.2,"99%",0.0355053566971806
400,0.05,1.2,"99%",0.0307485408701864
200,0.06,1.2,"99%",0.0473840586039818
300,0.06,1.2,"99%",0.0386889218406301
400,0.06,1.2,"99%",0.0335055891590163
200,0.07,1.2,"99%",0.0509076675203145
300,0.07,1.2,"99%",0.0415659364733422
400,0.07,1.2,"99%",0.0359971569180045
200,0.08,1.2,"99%",0.054129200428336
300,0.08,1.2,"99%",0.0441963070780879
400,0.08,1.2,"99%",0.0382751246830821
200,0.09,1.2,"99%",0.0570998090166843
300,0.09,1.2,"99%",0.0466217988337489
400,0.09,1.2,"99%",0.0403756621601542
200,0.1,1.2,"99%",0.0598568639719076
300,0.1,1.2,"99%",0.0488729247781186
400,0.1,1.2,"99%",0.0423251944150966
200,0.11,1.2,"99%",0.0624286653985159
300,0.11,1.2,"99%",0.0509727918497693
400,0.11,1.2,"99%",0.0441437326437166
200,0.12,1.2,"99%",0.0648372615585131
300,0.12,1.2,"99%",0.0529394023792426
400,0.12,1.2,"99%",0.0458468673215905
200,0.13,1.2,"99%",0.0671002297570805
300,0.13,1.2,"99%",0.0547871081761211
400,0.13,1.2,"99%",0.047447027480407
200,0.14,1.2,"99%",0.0692318518066484
300,0.14,1.2,"99%",0.0565275702914234
400,0.14,1.2,"99%",0.0489543118865832
200,0.15,1.2,"99%",0.0712439183354006
300,0.15,1.2,"99%",0.0581704157327487
400,0.15,1.2,"99%",0.0503770577732624
200,0.16,1.2,"99%",0.0731462960037178
300,0.16,1.2,"99%",0.059723700594563
400,0.16,1.2,"99%",0.0517222419229073
200,0.17,1.2,"99%",0.0749473379275379
300,0.17,1.2,"99%",0.0611942451674696
400,0.17,1.2,"99%",0.0529957708804418
200,0.18,1.2,"99%",0.0766541872950486
300,0.18,1.2,"99%",0.0625878818402007
400,0.18,1.2,"99%",0.0542026956426725
200,0.19,1.2,"99%",0.0782730063392418
300,0.19,1.2,"99%",0.0639096420549252
400,0.19,1.2,"99%",0.0553473735663355
200,0.2,1.2,"99%",0.0798091519625435
300,0.2,1.2,"99%",0.0651638997041581
400,0.2,1.2,"99%",0.0564335925534622
200,0.21,1.2,"99%",0.0812673124734448
300,0.21,1.2,"99%",0.0663544827757528
400,0.21,1.2,"99%",0.0574646677387789
200,0.22,1.2,"99%",0.0826516154736944
300,0.22,1.2,"99%",0.0674847614424246
400,0.22,1.2,"99%",0.0584435177774723
200,0.23,1.2,"99%",0.0839657140042597
300,0.23,1.2,"99%",0.0685577183996334
